     Time    Epoch     Dataset    Iteration    Progress(%)       LR    CDLoss    KLDivLoss   TotalLoss
 00:00:02     0/1000    train        0/140         0.0%      1.00E-03    0.24006   5.38068   0.24544
Saving checkpoint ...... 
DONE
 00:00:04     0/1000     val         0/19          0.0%      1.00E-03    0.11162   0.31104   0.11193
Visualizing ...
Generating html visualization ...
DONE
 00:02:24     3/1000    train       10/140         0.3%      1.00E-03    0.01627   0.01105   0.01628
 00:02:27     3/1000    train       20/140         0.3%      1.00E-03    0.01604   0.01343   0.01606
 00:02:28     3/1000     val         3/19          0.3%      1.00E-03    0.01412   0.03006   0.01415
 00:02:31     3/1000    train       30/140         0.3%      1.00E-03    0.01322   0.01758   0.01324
 00:02:33     3/1000     val         5/19          0.3%      1.00E-03    0.01424   0.04035   0.01428
 00:02:33     3/1000    train       40/140         0.3%      1.00E-03    0.01620   0.04551   0.01624
 00:02:36     3/1000    train       50/140         0.3%      1.00E-03    0.01335   0.04478   0.01339
 00:02:37     3/1000     val         7/19          0.3%      1.00E-03    0.01371   0.05993   0.01377
 00:02:40     3/1000    train       60/140         0.3%      1.00E-03    0.01215   0.05500   0.01221
 00:02:43     3/1000     val         9/19          0.4%      1.00E-03    0.01255   0.04234   0.01259
 00:02:43     3/1000    train       70/140         0.4%      1.00E-03    0.01361   0.02735   0.01364
 00:02:45     3/1000    train       80/140         0.4%      1.00E-03    0.01215   0.00386   0.01215
 00:02:47     3/1000     val        11/19          0.4%      1.00E-03    0.01535   0.01085   0.01537
 00:02:49     3/1000    train       90/140         0.4%      1.00E-03    0.01240   0.00184   0.01240
 00:02:51     3/1000     val        13/19          0.4%      1.00E-03    0.01401   0.00357   0.01401
 00:02:51     3/1000    train      100/140         0.4%      1.00E-03    0.01332   0.00277   0.01332
 00:02:54     3/1000    train      110/140         0.4%      1.00E-03    0.01384   0.00486   0.01384
 00:02:56     3/1000     val        15/19          0.4%      1.00E-03    0.01397   0.00585   0.01398
 00:02:58     3/1000    train      120/140         0.4%      1.00E-03    0.01642   0.00731   0.01642
 00:03:00     3/1000     val        17/19          0.4%      1.00E-03    0.01032   0.00731   0.01032
 00:03:00     3/1000    train      130/140         0.4%      1.00E-03    0.01427   0.01078   0.01428
training run exp-model_v1-fc-cd-vae-1e-3
     Time    Epoch     Dataset    Iteration    Progress(%)       LR    CDLoss    KLDivLoss   TotalLoss
 00:03:05     4/1000    train        0/140         0.4%      1.00E-03    0.01366   0.01614   0.01368
 00:03:06     4/1000     val         0/19          0.4%      1.00E-03    0.01345   0.02337   0.01348
 00:03:08     4/1000    train       10/140         0.4%      1.00E-03    0.01113   0.03814   0.01117
 00:03:09     4/1000     val         2/19          0.4%      1.00E-03    0.01324   0.06963   0.01331
 00:03:11     4/1000    train       20/140         0.4%      1.00E-03    0.01094   0.02339   0.01096
 00:03:14     4/1000     val         4/19          0.4%      1.00E-03    0.01290   0.01603   0.01292
 00:03:14     4/1000    train       30/140         0.4%      1.00E-03    0.01660   0.01926   0.01662
 00:03:17     4/1000    train       40/140         0.4%      1.00E-03    0.01262   0.01713   0.01264
 00:03:19     4/1000     val         6/19          0.4%      1.00E-03    0.01140   0.01286   0.01141
 00:03:21     4/1000    train       50/140         0.4%      1.00E-03    0.01285   0.00855   0.01286
 00:03:23     4/1000     val         8/19          0.4%      1.00E-03    0.01195   0.01467   0.01197
 00:03:24     4/1000    train       60/140         0.4%      1.00E-03    0.01303   0.00918   0.01304
 00:03:27     4/1000    train       70/140         0.5%      1.00E-03    0.01218   0.00377   0.01219
 00:03:28     4/1000     val        10/19          0.5%      1.00E-03    0.01164   0.00337   0.01164
 00:03:30     4/1000    train       80/140         0.5%      1.00E-03    0.01630   0.00652   0.01630
 00:03:33     4/1000     val        12/19          0.5%      1.00E-03    0.01565   0.01021   0.01566
 00:03:33     4/1000    train       90/140         0.5%      1.00E-03    0.01448   0.01002   0.01449
 00:03:36     4/1000    train      100/140         0.5%      1.00E-03    0.01517   0.00863   0.01518
 00:03:38     4/1000     val        14/19          0.5%      1.00E-03    0.01359   0.01070   0.01360
 00:03:39     4/1000    train      110/140         0.5%      1.00E-03    0.01485   0.00330   0.01485
 00:03:42     4/1000     val        16/19          0.5%      1.00E-03    0.01308   0.00481   0.01308
 00:03:43     4/1000    train      120/140         0.5%      1.00E-03    0.01280   0.00369   0.01280
 00:03:46     4/1000    train      130/140         0.5%      1.00E-03    0.01357   0.00382   0.01358
 00:03:47     4/1000     val        18/19          0.5%      1.00E-03    0.01206   0.00897   0.01207
training run exp-model_v1-fc-cd-vae-1e-3
     Time    Epoch     Dataset    Iteration    Progress(%)       LR    CDLoss    KLDivLoss   TotalLoss
 00:03:49     5/1000    train        0/140         0.5%      1.00E-03    0.01245   0.00315   0.01245
 00:03:53     5/1000     val         1/19          0.5%      1.00E-03    0.01379   0.01402   0.01380
 00:03:53     5/1000    train       10/140         0.5%      1.00E-03    0.01387   0.00450   0.01388
 00:03:55     5/1000    train       20/140         0.5%      1.00E-03    0.01420   0.01682   0.01422
 00:03:57     5/1000     val         3/19          0.5%      1.00E-03    0.01459   0.02628   0.01462
 00:03:58     5/1000    train       30/140         0.5%      1.00E-03    0.01158   0.00725   0.01159
 00:04:00     5/1000     val         5/19          0.5%      1.00E-03    0.01390   0.00540   0.01391
 00:04:01     5/1000    train       40/140         0.5%      1.00E-03    0.01578   0.00162   0.01578
 00:04:03     5/1000    train       50/140         0.5%      1.00E-03    0.01289   0.00125   0.01289
 00:04:05     5/1000     val         7/19          0.5%      1.00E-03    0.01405   0.00299   0.01405
 00:04:07     5/1000    train       60/140         0.5%      1.00E-03    0.01472   0.00119   0.01472
 00:04:09     5/1000     val         9/19          0.6%      1.00E-03    0.01263   0.00375   0.01263
 00:04:09     5/1000    train       70/140         0.6%      1.00E-03    0.01150   0.00209   0.01150
 00:04:11     5/1000    train       80/140         0.6%      1.00E-03    0.01183   0.00330   0.01183
