     Time    Epoch     Dataset    Iteration    Progress(%)       LR    CDLoss    KLDivLoss   TotalLoss
 00:00:01     0/1000    train        0/140         0.0%      1.00E-03    0.24006   5.38068   0.24060
Saving checkpoint ...... 
DONE
 00:00:04     0/1000     val         0/19          0.0%      1.00E-03    0.11131   0.36914   0.11135
Visualizing ...
Generating html visualization ...
DONE
 00:02:00     2/1000     val        14/19          0.3%      1.00E-03    0.01004   5.31271   0.01057
 00:02:01     2/1000    train      110/140         0.3%      1.00E-03    0.00973   5.37945   0.01027
 00:02:04     2/1000     val        16/19          0.3%      1.00E-03    0.01161   3.36140   0.01194
 00:02:04     2/1000    train      120/140         0.3%      1.00E-03    0.01117   5.42917   0.01171
 00:02:06     2/1000    train      130/140         0.3%      1.00E-03    0.01071   5.52201   0.01126
 00:02:08     2/1000     val        18/19          0.3%      1.00E-03    0.01019   7.79678   0.01097
training run exp-model_v1-fc-cd-vae
     Time    Epoch     Dataset    Iteration    Progress(%)       LR    CDLoss    KLDivLoss   TotalLoss
 00:02:09     3/1000    train        0/140         0.3%      1.00E-03    0.01094   5.50432   0.01149
 00:02:13     3/1000     val         1/19          0.3%      1.00E-03    0.01212   6.80645   0.01280
 00:02:13     3/1000    train       10/140         0.3%      1.00E-03    0.01326   3.99775   0.01366
 00:02:15     3/1000    train       20/140         0.3%      1.00E-03    0.01304   6.03730   0.01364
 00:02:17     3/1000     val         3/19          0.3%      1.00E-03    0.01455  25.23261   0.01707
 00:02:19     3/1000    train       30/140         0.3%      1.00E-03    0.00986   5.28733   0.01039
 00:02:20     3/1000     val         5/19          0.3%      1.00E-03    0.01045   7.39058   0.01119
 00:02:21     3/1000    train       40/140         0.3%      1.00E-03    0.01228   5.21959   0.01280
 00:02:23     3/1000    train       50/140         0.3%      1.00E-03    0.01076   5.77524   0.01134
 00:02:24     3/1000     val         7/19          0.3%      1.00E-03    0.01215   3.50145   0.01250
 00:02:26     3/1000    train       60/140         0.3%      1.00E-03    0.01011   4.84664   0.01059
